sk_respondente,sk_pergunta,publico,bloco,pergunta_slug,valor_texto,valor_numerico,carimbo,fonte
31,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 19:54:25.663,pesquisa_primaria
32,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 19:55:31.781,pesquisa_primaria
33,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 20:04:40.320,pesquisa_primaria
34,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 20:07:36.926,pesquisa_primaria
35,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 20:11:31.036,pesquisa_primaria
36,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 20:15:48.225,pesquisa_primaria
37,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 20:21:42.700,pesquisa_primaria
38,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 20:31:54.097,pesquisa_primaria
39,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 20:36:21.798,pesquisa_primaria
40,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 20:39:51.722,pesquisa_primaria
41,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 20:39:52.888,pesquisa_primaria
42,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 20:56:23.429,pesquisa_primaria
43,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 20:58:17.125,pesquisa_primaria
44,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 21:10:23.739,pesquisa_primaria
45,2,contratante,perfil,arranjo_moradia,Moro sozinho(a).,,2026-03-24 21:50:44.954,pesquisa_primaria
46,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 22:34:36.412,pesquisa_primaria
47,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 07:04:23.770,pesquisa_primaria
48,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 07:32:02.170,pesquisa_primaria
49,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 10:07:51.270,pesquisa_primaria
50,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 11:12:21.040,pesquisa_primaria
51,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 11:16:16.533,pesquisa_primaria
52,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 12:00:25.404,pesquisa_primaria
53,2,contratante,perfil,arranjo_moradia,Moro com o(a) parceiro(a) (sem filhos).,,2026-03-25 12:02:52.345,pesquisa_primaria
54,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 12:02:58.257,pesquisa_primaria
55,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 12:05:48.745,pesquisa_primaria
56,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 12:07:22.699,pesquisa_primaria
57,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-25 12:09:36.234,pesquisa_primaria
